Job ID: 10490560
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id InvertedPendulum-v4   --run-id 10490560   --seed 5   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=1703, episode=231, episodic_return=5.000
global_step=1708, episode=232, episodic_return=4.000
global_step=1727, episode=233, episodic_return=18.000
global_step=1733, episode=234, episodic_return=5.000
global_step=1738, episode=235, episodic_return=4.000
global_step=1743, episode=236, episodic_return=4.000
global_step=1748, episode=237, episodic_return=4.000
global_step=1753, episode=238, episodic_return=4.000
global_step=1758, episode=239, episodic_return=4.000
global_step=1762, episode=240, episodic_return=3.000
global_step=1766, episode=241, episodic_return=3.000
global_step=1772, episode=242, episodic_return=5.000
global_step=1779, episode=243, episodic_return=6.000
global_step=1785, episode=244, episodic_return=5.000
global_step=1789, episode=245, episodic_return=3.000
global_step=1793, episode=246, episodic_return=3.000
global_step=1797, episode=247, episodic_return=3.000
global_step=1814, episode=248, episodic_return=16.000
global_step=1818, episode=249, episodic_return=3.000
global_step=1825, episode=250, episodic_return=6.000
global_step=1830, episode=251, episodic_return=4.000
global_step=1839, episode=252, episodic_return=8.000
global_step=1843, episode=253, episodic_return=3.000
global_step=1849, episode=254, episodic_return=5.000
global_step=1853, episode=255, episodic_return=3.000
global_step=1858, episode=256, episodic_return=4.000
global_step=1863, episode=257, episodic_return=4.000
global_step=1869, episode=258, episodic_return=5.000
global_step=1876, episode=259, episodic_return=6.000
global_step=1886, episode=260, episodic_return=9.000
global_step=1899, episode=261, episodic_return=12.000
global_step=1906, episode=262, episodic_return=6.000
global_step=1914, episode=263, episodic_return=7.000
global_step=1926, episode=264, episodic_return=11.000
global_step=1933, episode=265, episodic_return=6.000
global_step=1944, episode=266, episodic_return=10.000
global_step=1948, episode=267, episodic_return=3.000
global_step=1953, episode=268, episodic_return=4.000
global_step=1965, episode=269, episodic_return=11.000
global_step=1972, episode=270, episodic_return=6.000
global_step=1984, episode=271, episodic_return=11.000
global_step=1988, episode=272, episodic_return=3.000
global_step=1996, episode=273, episodic_return=7.000
global_step=2002, episode=274, episodic_return=5.000
global_step=2012, episode=275, episodic_return=9.000
global_step=2018, episode=276, episodic_return=5.000
global_step=2023, episode=277, episodic_return=4.000
global_step=2027, episode=278, episodic_return=3.000
global_step=2033, episode=279, episodic_return=5.000
global_step=2039, episode=280, episodic_return=5.000
global_step=2045, episode=281, episodic_return=5.000
global_step=2052, episode=282, episodic_return=6.000
global_step=2056, episode=283, episodic_return=3.000
global_step=2071, episode=284, episodic_return=14.000
global_step=2075, episode=285, episodic_return=3.000
global_step=2084, episode=286, episodic_return=8.000
global_step=2091, episode=287, episodic_return=6.000
global_step=2100, episode=288, episodic_return=8.000
global_step=2111, episode=289, episodic_return=10.000
global_step=2116, episode=290, episodic_return=4.000
global_step=2122, episode=291, episodic_return=5.000
global_step=2136, episode=292, episodic_return=13.000
global_step=2147, episode=293, episodic_return=10.000
global_step=2152, episode=294, episodic_return=4.000
global_step=2156, episode=295, episodic_return=3.000
global_step=2161, episode=296, episodic_return=4.000
global_step=2165, episode=297, episodic_return=3.000
global_step=2169, episode=298, episodic_return=3.000
global_step=2178, episode=299, episodic_return=8.000
