Job ID: 10484947
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id Hopper-v4   --run-id 10484947   --seed 1   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-9492_episode-278.mp4
    -> New best: episodic_return=244.028
global_step=9586, episode=279, episodic_return=208.929
global_step=9689, episode=280, episodic_return=239.363
global_step=9790, episode=281, episodic_return=235.103
global_step=9880, episode=282, episodic_return=188.157
global_step=9977, episode=283, episodic_return=225.403
global_step=10077, episode=284, episodic_return=220.381
global_step=10096, episode=285, episodic_return=17.957
global_step=10205, episode=286, episodic_return=239.453
global_step=10312, episode=287, episodic_return=226.602
global_step=10411, episode=288, episodic_return=218.180
global_step=10512, episode=289, episodic_return=214.410
global_step=10608, episode=290, episodic_return=197.895
global_step=10719, episode=291, episodic_return=242.607
global_step=10828, episode=292, episodic_return=236.269
global_step=10940, episode=293, episodic_return=238.767
global_step=11043, episode=294, episodic_return=224.604
global_step=11152, episode=295, episodic_return=253.430
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-11152_episode-295.mp4
    -> New best: episodic_return=253.430
global_step=11268, episode=296, episodic_return=260.073
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-11268_episode-296.mp4
    -> New best: episodic_return=260.073
global_step=11380, episode=297, episodic_return=252.721
global_step=11483, episode=298, episodic_return=233.049
global_step=11584, episode=299, episodic_return=222.341
global_step=11689, episode=300, episodic_return=237.946
global_step=11795, episode=301, episodic_return=248.209
global_step=11895, episode=302, episodic_return=205.511
global_step=12006, episode=303, episodic_return=241.059
global_step=12106, episode=304, episodic_return=200.588
global_step=12193, episode=305, episodic_return=185.792
global_step=12274, episode=306, episodic_return=162.066
global_step=12365, episode=307, episodic_return=167.142
global_step=12446, episode=308, episodic_return=164.116
global_step=12518, episode=309, episodic_return=129.516
global_step=12600, episode=310, episodic_return=172.936
global_step=12684, episode=311, episodic_return=165.275
global_step=12776, episode=312, episodic_return=203.147
global_step=12857, episode=313, episodic_return=166.807
global_step=12966, episode=314, episodic_return=255.095
global_step=13059, episode=315, episodic_return=212.433
global_step=13155, episode=316, episodic_return=214.403
global_step=13249, episode=317, episodic_return=211.959
